행정동,거주자_총인구수,여_거주자_총인구수,남_거주자_총인구수,1인 가구수,합계_가구수,합계_수급권자수,일반수급자_가구수,일반수급자_수급권자수,시설수급자 수
서울특별시 강서구,"558,886","291,260","267,626",97429,"18,219","25,187","18,075","25,043",144
염창동,"41,098","21,368","19,730",3165,129,179,129,179,0
등촌제1동,"24,836","13,353","11,483",6130,163,227,163,227,0
등촌제2동,"19,165","9,852","9,313",2443,238,357,225,344,13
등촌제3동,"29,182","15,461","13,721",5406,"3,930","5,408","3,914","5,392",16
화곡제1동,"50,328","25,924","24,404",11395,"1,218","1,618","1,209","1,609",9
화곡제2동,"16,937","8,811","8,126",2784,522,808,522,808,0
화곡제3동,"20,987","10,991","9,996",3096,403,555,380,532,23
화곡제4동,"19,494","9,924","9,570",3528,594,852,592,850,2
화곡본동,"32,763","16,929","15,834",6607,962,"1,452",947,"1,437",15
화곡제6동,"25,841","13,501","12,340",4495,591,805,586,800,5
화곡제8동,"23,237","12,027","11,210",4157,565,825,560,820,5
가양제1동,"33,636","18,564","15,072",11124,166,234,162,230,4
가양제2동,"13,303","7,068","6,235",3804,"2,300","2,988","2,295","2,983",5
가양제3동,"13,971","7,565","6,406",3075,"1,571","2,130","1,568","2,127",3
발산제1동,"35,393","18,700","16,693",2518,710,"1,217",698,"1,205",12
우장산동,"43,532","22,753","20,779",3841,319,430,314,425,5
공항동,"29,225","14,487","14,738",5412,641,872,639,870,2
방화제1동,"41,665","21,330","20,335",4795,654,924,643,913,11
방화제2동,"22,500","11,371","11,129",5268,"1,053","1,357","1,041","1,345",12
방화제3동,"21,793","11,281","10,512",4386,"1,490","1,949","1,488","1,947",2
